index,time,P1s1,P1s2,P2s1,P2s2,P3s1,P3s2,B1->T,B2->T,B3->T,1 final,2 final,3 final,Location
376,49.7,247.9,,234.4,,187.8,,247.9,234.4,187.8,220.0,231.0,182.0,[  76.2  136.8 -154.5]
377,49.8,,227.3,,235.1,,333.9,227.3,235.1,187.8,199.0,232.0,182.0,[  50.5  128.9 -143. ]
378,49.9,242.4,,233.8,,187.5,,242.4,233.8,187.5,214.0,230.0,181.0,[  70.3  134.5 -150.9]
379,50.0,,228.4,,235.8,,334.2,228.4,235.8,187.5,200.0,232.0,181.0,[  51.6  130.  -143. ]
380,50.1,233.3,,234.7,,187.8,,233.3,234.7,187.8,205.0,231.0,182.0,[  58.5  130.7 -146.7]
381,50.2,,229.6,,236.5,,333.8,229.6,236.5,187.8,201.0,233.0,182.0,[  51.4  130.2 -144.2]
382,50.3,236.2,,234.7,,187.0,,236.2,234.7,187.0,208.0,231.0,181.0,[  62.   132.6 -147.8]
383,50.4,,229.1,,237.7,,333.0,229.1,237.7,187.0,201.0,234.0,181.0,[  50.1  131.6 -143.4]
384,50.5,236.2,,238.8,,190.1,,236.2,238.8,190.1,208.0,235.0,184.0,[  56.8  132.5 -149.9]
385,50.6,,228.3,,235.4,,334.9,228.3,235.4,190.1,200.0,232.0,184.0,[  51.6  127.7 -145. ]
386,50.7,242.7,,235.1,,189.3,,242.7,235.1,189.3,214.0,232.0,183.0,[  67.7  134.1 -152.4]
387,50.8,,228.0,,235.8,,334.2,228.0,235.8,189.3,200.0,232.0,183.0,[  51.6  128.5 -144.3]
388,50.9,232.5,,234.3,,188.6,,232.5,234.3,188.6,204.0,231.0,182.0,[  57.4  130.2 -146.2]
389,51.0,,237.9,,243.6,,329.5,237.9,243.6,188.6,210.0,240.0,182.0,[  52.5  137.8 -149.5]
390,51.1,233.3,,234.2,,186.6,,233.3,234.2,186.6,205.0,231.0,180.0,[  58.5  132.2 -145.3]
391,51.2,,227.6,,235.3,,334.7,227.6,235.3,186.6,199.0,232.0,180.0,[  50.5  130.4 -141.6]
392,51.3,234.6,,235.0,,187.8,,234.6,235.0,187.8,206.0,231.0,182.0,[  59.7  131.  -147.3]
393,51.4,,229.0,,235.3,,335.3,229.0,235.3,187.8,201.0,232.0,182.0,[  52.7  129.6 -144.3]
394,51.5,233.6,,234.6,,186.4,,233.6,234.6,186.4,205.0,231.0,180.0,[  58.5  132.2 -145.3]
395,51.6,,228.1,,235.5,,334.2,228.1,235.5,186.4,200.0,232.0,180.0,[  51.6  130.8 -142.2]
396,51.7,234.0,,234.9,,189.6,,234.0,234.9,189.6,206.0,231.0,183.0,[  59.7  130.2 -148.1]
397,51.8,,228.1,,236.6,,334.6,228.1,236.6,189.6,200.0,233.0,183.0,[  50.3  129.  -144.3]
398,51.9,235.8,,235.5,,189.4,,235.8,235.5,189.4,207.0,232.0,183.0,[  59.5  131.2 -148.6]
399,52.0,,230.7,,236.2,,333.4,230.7,236.2,189.4,202.0,233.0,183.0,[  52.5  129.8 -145.6]
400,52.1,232.7,,233.9,,186.8,,232.7,233.9,186.8,204.0,230.0,181.0,[  58.7  130.5 -145.4]
401,52.3,,226.1,,234.7,,334.9,226.1,234.7,186.8,198.0,231.0,181.0,[  50.7  128.7 -141.7]
402,52.4,232.9,,234.9,,187.2,,232.9,234.9,187.2,205.0,231.0,181.0,[  58.5  131.4 -146.1]
403,52.5,,225.1,,235.0,,334.0,225.1,235.0,187.2,197.0,231.0,181.0,[  49.6  128.3 -141. ]
404,52.6,238.1,,235.1,,189.3,,238.1,235.1,189.3,210.0,232.0,183.0,[  63.   132.4 -150.3]
405,52.7,,238.4,,244.0,,329.7,238.4,244.0,189.3,210.0,240.0,183.0,[  52.5  137.  -150.2]
406,52.8,232.7,,234.2,,186.4,,232.7,234.2,186.4,204.0,231.0,180.0,[  57.4  131.8 -144.7]
407,52.9,,226.3,,235.1,,335.0,226.3,235.1,186.4,198.0,232.0,180.0,[  49.4  130.1 -140.8]
408,53.0,233.9,,235.7,,187.1,,233.9,235.7,187.1,206.0,232.0,181.0,[  58.4  132.4 -146.6]
409,53.1,,229.4,,235.3,,335.6,229.4,235.3,187.1,201.0,232.0,181.0,[  52.7  130.4 -143.6]
410,53.2,234.2,,235.0,,188.2,,234.2,235.0,188.2,206.0,231.0,182.0,[  59.7  131.  -147.3]
411,53.3,,235.8,,236.4,,333.4,235.8,236.4,188.2,207.0,233.0,182.0,[  58.2  132.6 -147.9]
412,53.4,241.3,,234.6,,187.1,,241.3,234.6,187.1,213.0,231.0,181.0,[  67.8  134.7 -150.4]
413,53.5,,227.3,,235.1,,334.3,227.3,235.1,187.1,199.0,232.0,181.0,[  50.5  129.7 -142.2]
414,53.6,234.2,,234.2,,189.6,,234.2,234.2,189.6,206.0,231.0,183.0,[  59.7  130.2 -148.1]
415,53.7,,228.0,,234.9,,334.6,228.0,234.9,189.6,200.0,231.0,183.0,[  52.9  127.9 -144.4]
416,53.8,239.4,,234.0,,189.3,,239.4,234.0,189.3,211.0,230.0,183.0,[  66.7  131.7 -150.8]
417,53.9,,226.2,,235.8,,335.3,226.2,235.8,189.3,198.0,232.0,183.0,[  49.4  127.7 -143. ]
418,54.0,233.6,,235.3,,189.6,,233.6,235.3,189.6,205.0,232.0,183.0,[  57.2  130.4 -147.5]
419,54.1,,227.0,,235.9,,334.9,227.0,235.9,189.6,199.0,232.0,183.0,[  50.5  128.1 -143.7]
420,54.2,234.2,,235.3,,187.5,,234.2,235.3,187.5,206.0,232.0,181.0,[  58.4  132.4 -146.6]
421,54.3,,232.0,,239.0,,332.5,232.0,239.0,187.5,204.0,235.0,181.0,[  52.2  133.3 -145.3]
422,54.4,233.3,,235.0,,186.7,,233.3,235.0,186.7,205.0,231.0,181.0,[  58.5  131.4 -146.1]
423,54.5,,227.7,,236.2,,334.6,227.7,236.2,186.7,199.0,233.0,181.0,[  49.2  130.2 -142.2]
424,54.6,235.5,,234.7,,187.1,,235.5,234.7,187.1,207.0,231.0,181.0,[  60.8  132.2 -147.2]
425,54.7,,230.1,,236.6,,333.1,230.1,236.6,187.1,202.0,233.0,181.0,[  52.5  131.4 -144.2]
426,54.8,234.0,,234.3,,186.7,,234.0,234.3,186.7,206.0,231.0,181.0,[  59.7  131.8 -146.6]
427,54.9,,229.5,,236.8,,334.0,229.5,236.8,186.7,201.0,233.0,181.0,[  51.4  131.  -143.5]
428,55.0,242.0,,241.0,,192.2,,242.0,241.0,192.2,214.0,237.0,186.0,[  61.2  134.5 -154.8]
429,55.1,,226.6,,236.4,,334.6,226.6,236.4,192.2,198.0,233.0,186.0,[  48.1  125.8 -145.1]
430,55.2,233.8,,234.6,,188.3,,233.8,234.6,188.3,205.0,231.0,182.0,[  58.5  130.7 -146.7]
431,55.3,,225.8,,234.9,,335.3,225.8,234.9,188.3,197.0,231.0,182.0,[  49.6  127.5 -141.7]
432,55.4,232.5,,234.7,,186.7,,232.5,234.7,186.7,204.0,231.0,181.0,[  57.4  131.  -145.5]
433,55.6,,228.1,,236.1,,334.3,228.1,236.1,186.7,200.0,233.0,181.0,[  50.3  130.6 -142.9]
434,55.7,233.2,,234.7,,189.6,,233.2,234.7,189.6,205.0,231.0,183.0,[  58.5  129.9 -147.4]
435,55.8,,234.0,,240.3,,330.8,234.0,240.3,189.6,206.0,237.0,183.0,[  51.9  133.6 -148. ]
436,55.9,237.9,,234.3,,189.6,,237.9,234.3,189.6,210.0,231.0,183.0,[  64.3  131.8 -150.3]
437,56.0,,228.7,,235.4,,334.2,228.7,235.4,189.6,200.0,232.0,183.0,[  51.6  128.5 -144.3]
438,56.1,233.3,,234.2,,186.7,,233.3,234.2,186.7,205.0,231.0,181.0,[  58.5  131.4 -146.1]
439,56.2,,226.6,,235.1,,334.9,226.6,235.1,186.7,198.0,232.0,181.0,[  49.4  129.3 -141.6]
440,56.3,232.4,,234.2,,186.6,,232.4,234.2,186.6,204.0,231.0,180.0,[  57.4  131.8 -144.7]
441,56.4,,227.2,,235.5,,334.6,227.2,235.5,186.6,199.0,232.0,180.0,[  50.5  130.4 -141.6]
442,56.5,234.7,,234.2,,188.8,,234.7,234.2,188.8,206.0,231.0,183.0,[  59.7  130.2 -148.1]
443,56.6,,225.1,,235.7,,334.2,225.1,235.7,188.8,197.0,232.0,183.0,[  48.3  127.3 -142.4]
444,56.7,233.8,,235.0,,186.7,,233.8,235.0,186.7,205.0,231.0,181.0,[  58.5  131.4 -146.1]
445,56.8,,228.7,,234.2,,334.2,228.7,234.2,186.7,200.0,231.0,181.0,[  52.9  129.5 -142.9]
446,56.9,231.6,,234.7,,189.3,,231.6,234.7,189.3,203.0,231.0,183.0,[  56.2  129.1 -146.2]
447,57.0,,233.5,,238.1,,331.7,233.5,238.1,189.3,205.0,235.0,183.0,[  53.3  132.1 -147.4]
448,57.1,235.0,,235.9,,187.4,,235.0,235.9,187.4,207.0,232.0,181.0,[  59.5  132.8 -147.2]
449,57.2,,225.8,,234.2,,335.0,225.8,234.2,187.4,197.0,231.0,181.0,[  49.6  128.3 -141. ]
450,57.3,240.5,,239.1,,191.6,,240.5,239.1,191.6,212.0,236.0,185.0,[  60.1  133.9 -153. ]
451,57.4,,244.6,,242.5,,331.4,244.6,242.5,191.6,216.0,239.0,185.0,[  60.9  137.3 -155.2]
452,57.5,233.8,,234.0,,186.8,,233.8,234.0,186.8,205.0,230.0,181.0,[  59.8  130.9 -146. ]
453,57.6,,227.9,,235.8,,334.5,227.9,235.8,186.8,200.0,232.0,181.0,[  51.6  130.  -143. ]
454,57.7,233.6,,234.0,,189.2,,233.6,234.0,189.2,205.0,230.0,183.0,[  59.8  129.3 -147.4]
455,57.8,,229.0,,238.8,,327.3,229.0,238.8,327.3,201.0,235.0,321.0,[  48.8  -20.7 -193.9]
456,57.9,233.1,,235.1,,189.4,,233.1,235.1,189.4,205.0,232.0,183.0,[  57.2  130.4 -147.5]
457,58.0,,226.8,,236.4,,333.4,226.8,236.4,189.4,198.0,233.0,183.0,[  48.1  128.2 -143. ]
458,58.1,233.5,,234.3,,189.4,,233.5,234.3,189.4,205.0,231.0,183.0,[  58.5  129.9 -147.4]
459,58.2,,227.4,,235.5,,333.2,227.4,235.5,189.4,199.0,232.0,183.0,[  50.5  128.1 -143.7]
460,58.3,244.2,,241.0,,190.4,,244.2,241.0,190.4,216.0,237.0,184.0,[  63.6  136.9 -154.5]
461,58.4,,230.1,,235.7,,333.4,230.1,235.7,190.4,202.0,232.0,184.0,[  53.8  128.5 -146.3]
462,58.5,231.8,,232.2,,188.5,,231.8,232.2,188.5,203.0,229.0,182.0,[  58.8  128.8 -145.5]
463,58.6,,226.5,,235.0,,335.4,226.5,235.0,188.5,198.0,231.0,182.0,[  50.7  127.9 -142.4]
464,58.7,236.2,,236.6,,190.7,,236.2,236.6,190.7,208.0,233.0,185.0,[  59.4  130.6 -150.6]
465,58.9,,228.7,,234.9,,334.3,228.7,234.9,190.7,200.0,231.0,185.0,[  52.9  126.3 -145.8]
466,59.0,238.3,,236.2,,188.9,,238.3,236.2,188.9,210.0,233.0,183.0,[  61.7  133.  -150.3]
467,59.1,,230.3,,238.7,,332.4,230.3,238.7,188.9,202.0,235.0,183.0,[  49.9  130.9 -145.5]
468,59.2,334.9,,240.2,,190.4,,230.3,240.2,190.4,202.0,237.0,184.0,[  47.3  131.3 -146. ]
469,59.3,,230.7,,235.1,,335.1,230.7,235.1,190.4,202.0,232.0,184.0,[  53.8  128.5 -146.3]
470,59.4,336.9,,234.7,,189.2,,230.7,234.7,189.2,202.0,231.0,183.0,[  55.1  128.7 -145.6]
471,59.5,,262.0,,235.1,,334.5,262.0,235.1,189.2,234.0,232.0,183.0,[  92.6  142.7 -160.7]
472,59.6,337.6,,240.2,,188.9,,262.0,240.2,188.9,234.0,237.0,183.0,[  86.1  145.5 -161.8]
473,59.7,,343.4,,236.1,,334.3,343.4,236.1,188.9,315.0,233.0,183.0,[ 214.8  186.3 -135.6]
474,59.8,335.3,,234.9,,187.8,,343.4,234.9,187.8,315.0,231.0,182.0,[ 217.4  185.9 -131.9]
475,59.9,,226.6,,235.4,,334.6,226.6,235.4,187.8,198.0,232.0,182.0,[  49.4  128.5 -142.3]
476,60.0,244.2,,241.0,,192.9,,244.2,241.0,192.9,216.0,237.0,187.0,[  63.6  134.5 -156.6]
477,60.1,,227.0,,235.9,,334.7,227.0,235.9,192.9,199.0,232.0,187.0,[  50.5  124.9 -146.5]
478,60.2,232.4,,234.2,,189.4,,232.4,234.2,189.4,204.0,231.0,183.0,[  57.4  129.4 -146.9]
479,60.3,,229.2,,236.4,,334.2,229.2,236.4,189.4,201.0,233.0,183.0,[  51.4  129.4 -145. ]
480,60.4,234.9,,235.9,,186.3,,234.9,235.9,186.3,207.0,232.0,180.0,[  59.5  133.6 -146.5]
481,60.5,,226.6,,236.2,,334.5,226.6,236.2,186.3,198.0,233.0,180.0,[  48.1  130.6 -140.8]
482,60.6,233.3,,235.0,,187.0,,233.3,235.0,187.0,205.0,231.0,181.0,[  58.5  131.4 -146.1]
483,60.7,,230.3,,238.7,,332.5,230.3,238.7,187.0,202.0,235.0,181.0,[  49.9  132.5 -144.1]
484,60.8,235.0,,235.8,,190.8,,235.0,235.8,190.8,207.0,232.0,185.0,[  59.5  129.6 -150. ]
485,60.9,,230.9,,237.0,,333.5,230.9,237.0,190.8,203.0,233.0,185.0,[  53.7  128.6 -147.6]
486,61.0,233.8,,234.3,,188.8,,233.8,234.3,188.8,205.0,231.0,183.0,[  58.5  129.9 -147.4]
487,61.1,,227.0,,235.4,,333.8,227.0,235.4,188.8,199.0,232.0,183.0,[  50.5  128.1 -143.7]
488,61.2,234.9,,235.0,,187.4,,234.9,235.0,187.4,207.0,231.0,181.0,[  60.8  132.2 -147.2]
489,61.3,,234.7,,236.4,,333.0,234.7,236.4,187.4,206.0,233.0,181.0,[  57.1  132.9 -146.7]
490,61.4,233.5,,233.9,,189.0,,233.5,233.9,189.0,205.0,230.0,183.0,[  59.8  129.3 -147.4]
491,61.5,,231.3,,238.3,,331.9,231.3,238.3,189.0,203.0,235.0,183.0,[  51.1  131.3 -146.1]
492,61.6,233.1,,235.1,,187.4,,233.1,235.1,187.4,205.0,232.0,181.0,[  57.2  132.  -146. ]
493,61.7,,229.5,,235.5,,334.0,229.5,235.5,187.4,201.0,232.0,181.0,[  52.7  130.4 -143.6]
494,61.8,233.8,,235.5,,189.3,,233.8,235.5,189.3,205.0,232.0,183.0,[  57.2  130.4 -147.5]
495,61.9,,229.2,,238.0,,333.2,229.2,238.0,189.3,201.0,234.0,183.0,[  50.1  130.  -144.9]
496,62.1,236.1,,237.2,,188.1,,236.1,237.2,188.1,208.0,234.0,182.0,[  58.1  133.5 -148.5]
497,62.2,,226.3,,235.4,,333.6,226.3,235.4,188.1,198.0,232.0,182.0,[  49.4  128.5 -142.3]
498,62.3,234.7,,236.2,,188.2,,234.7,236.2,188.2,206.0,233.0,182.0,[  57.1  132.2 -147.3]
499,62.4,,229.9,,234.9,,334.3,229.9,234.9,188.2,202.0,231.0,182.0,[  55.1  129.5 -144.9]
500,62.5,235.8,,235.9,,188.8,,235.8,235.9,188.8,207.0,232.0,183.0,[  59.5  131.2 -148.6]
501,62.6,,229.8,,239.7,,331.9,229.8,239.7,188.8,201.0,236.0,183.0,[  47.5  131.1 -144.8]
502,62.7,232.2,,234.9,,189.0,,232.2,234.9,189.0,204.0,231.0,183.0,[  57.4  129.4 -146.9]
503,62.8,,229.1,,235.3,,334.2,229.1,235.3,189.0,201.0,232.0,183.0,[  52.7  128.9 -144.9]
504,62.9,232.1,,234.4,,188.9,,232.1,234.4,188.9,204.0,231.0,183.0,[  57.4  129.4 -146.9]
505,63.0,,226.9,,236.5,,333.9,226.9,236.5,188.9,199.0,233.0,183.0,[  49.2  128.6 -143.7]
506,63.1,232.4,,234.2,,186.7,,232.4,234.2,186.7,204.0,231.0,181.0,[  57.4  131.  -145.5]
507,63.2,,229.5,,237.2,,333.6,229.5,237.2,186.7,201.0,234.0,181.0,[  50.1  131.6 -143.4]
508,63.3,239.4,,234.4,,186.6,,239.4,234.4,186.6,211.0,231.0,180.0,[  65.4  134.7 -148.7]
509,63.4,,225.9,,233.1,,335.1,225.9,233.1,186.6,198.0,230.0,180.0,[  52.   128.9 -141. ]
510,63.5,235.3,,234.3,,188.2,,235.3,234.3,188.2,207.0,231.0,182.0,[  60.8  131.4 -147.9]
511,63.6,,229.2,,235.3,,334.0,229.2,235.3,188.2,201.0,232.0,182.0,[  52.7  129.6 -144.3]
512,63.7,232.4,,234.2,,189.0,,232.4,234.2,189.0,204.0,231.0,183.0,[  57.4  129.4 -146.9]
513,63.8,,235.8,,236.2,,333.5,235.8,236.2,189.0,207.0,233.0,183.0,[  58.2  131.8 -148.6]
514,63.9,233.6,,235.1,,187.0,,233.6,235.1,187.0,205.0,232.0,181.0,[  57.2  132.  -146. ]
515,64.0,,226.8,,235.3,,334.2,226.8,235.3,187.0,198.0,232.0,181.0,[  49.4  129.3 -141.6]
516,64.1,235.8,,235.0,,190.1,,235.8,235.0,190.1,207.0,231.0,184.0,[  60.8  129.9 -149.3]
517,64.2,,234.3,,237.5,,332.3,234.3,237.5,190.1,206.0,234.0,184.0,[  55.8  131.1 -148.8]
518,64.3,234.0,,234.6,,187.0,,234.0,234.6,187.0,206.0,231.0,181.0,[  59.7  131.8 -146.6]
519,64.4,,230.6,,236.8,,332.5,230.6,236.8,187.0,202.0,233.0,181.0,[  52.5  131.4 -144.2]
520,64.5,232.8,,233.9,,189.2,,232.8,233.9,189.2,204.0,230.0,183.0,[  58.7  128.9 -146.8]
521,64.6,,228.0,,235.0,,334.7,228.0,235.0,189.2,200.0,231.0,183.0,[  52.9  127.9 -144.4]
522,64.7,232.7,,233.9,,189.3,,232.7,233.9,189.3,204.0,230.0,183.0,[  58.7  128.9 -146.8]
523,64.8,,228.5,,235.7,,334.3,228.5,235.7,189.3,200.0,232.0,183.0,[  51.6  128.5 -144.3]
524,64.9,233.2,,234.6,,188.6,,233.2,234.6,188.6,205.0,231.0,182.0,[  58.5  130.7 -146.7]
525,65.0,,228.8,,237.2,,333.4,228.8,237.2,188.6,200.0,234.0,182.0,[  49.   130.4 -143.5]
526,65.1,233.9,,234.9,,188.1,,233.9,234.9,188.1,206.0,231.0,182.0,[  59.7  131.  -147.3]
527,65.3,,230.1,,235.1,,334.3,230.1,235.1,188.1,202.0,232.0,182.0,[  53.8  130.  -144.9]
528,65.4,233.6,,235.1,,187.1,,233.6,235.1,187.1,205.0,232.0,181.0,[  57.2  132.  -146. ]
529,65.5,,229.0,,237.5,,333.2,229.0,237.5,187.1,201.0,234.0,181.0,[  50.1  131.6 -143.4]
530,65.6,236.6,,237.2,,188.9,,236.6,237.2,188.9,208.0,234.0,183.0,[  58.1  132.7 -149.3]
531,65.7,,228.8,,236.5,,335.1,228.8,236.5,188.9,200.0,233.0,183.0,[  50.3  129.  -144.3]
532,65.8,232.8,,234.0,,188.1,,232.8,234.0,188.1,204.0,230.0,182.0,[  58.7  129.7 -146.1]
533,65.9,,230.9,,235.9,,334.0,230.9,235.9,188.1,203.0,232.0,182.0,[  55.   130.4 -145.5]
534,66.0,234.2,,235.7,,188.6,,234.2,235.7,188.6,206.0,232.0,182.0,[  58.4  131.6 -147.3]
535,66.1,,229.1,,235.4,,334.2,229.1,235.4,188.6,201.0,232.0,182.0,[  52.7  129.6 -144.3]
536,66.2,233.1,,235.0,,186.8,,233.1,235.0,186.8,205.0,231.0,181.0,[  58.5  131.4 -146.1]
537,66.3,,226.8,,234.9,,334.3,226.8,234.9,186.8,198.0,231.0,181.0,[  50.7  128.7 -141.7]
538,66.4,232.9,,234.0,,186.8,,232.9,234.0,186.8,205.0,230.0,181.0,[  59.8  130.9 -146. ]
539,66.5,,229.0,,235.3,,333.9,229.0,235.3,186.8,201.0,232.0,181.0,[  52.7  130.4 -143.6]
540,66.6,233.1,,234.6,,187.8,,233.1,234.6,187.8,205.0,231.0,182.0,[  58.5  130.7 -146.7]
541,66.7,,229.4,,237.5,,334.3,229.4,237.5,187.8,201.0,234.0,182.0,[  50.1  130.8 -144.2]
542,66.8,239.0,,240.6,,191.4,,239.0,240.6,191.4,211.0,237.0,185.0,[  57.6  134.1 -152.4]
543,66.9,,233.8,,237.6,,333.6,233.8,237.6,191.4,205.0,234.0,185.0,[  54.6  130.  -148.8]
544,67.0,231.4,,233.6,,187.0,,231.4,233.6,187.0,203.0,230.0,181.0,[  57.5  130.1 -144.8]
545,67.1,,235.4,,235.4,,334.3,235.4,235.4,187.0,207.0,232.0,181.0,[  59.5  132.8 -147.2]
546,67.2,234.2,,236.2,,190.8,,234.2,236.2,190.8,206.0,233.0,185.0,[  57.1  129.8 -149.4]
547,67.3,,226.9,,235.8,,334.9,226.9,235.8,190.8,199.0,232.0,185.0,[  50.5  126.5 -145.1]
548,67.4,236.6,,235.5,,187.5,,236.6,235.5,187.5,208.0,232.0,181.0,[  60.7  133.2 -147.8]
549,67.5,,231.8,,236.2,,333.8,231.8,236.2,187.5,203.0,233.0,181.0,[  53.7  131.8 -144.8]
550,67.6,233.3,,234.0,,188.6,,233.3,234.0,188.6,205.0,230.0,182.0,[  59.8  130.1 -146.7]
551,67.7,,228.3,,236.2,,333.2,228.3,236.2,188.6,200.0,233.0,182.0,[  50.3  129.8 -143.6]
552,67.8,232.5,,234.7,,186.3,,232.5,234.7,186.3,204.0,231.0,180.0,[  57.4  131.8 -144.7]
553,67.9,,227.4,,235.0,,335.4,227.4,235.0,186.3,199.0,231.0,180.0,[  51.8  129.9 -141.6]
554,68.0,234.9,,234.4,,189.9,,234.9,234.4,189.9,207.0,231.0,184.0,[  60.8  129.9 -149.3]
555,68.1,,228.3,,235.9,,334.2,228.3,235.9,189.9,200.0,232.0,184.0,[  51.6  127.7 -145. ]
556,68.2,233.2,,233.6,,161.0,,233.2,233.6,161.0,205.0,230.0,155.0,[  59.8  149.9 -126.4]
557,68.3,,227.6,,236.8,,334.9,227.6,236.8,161.0,199.0,233.0,155.0,[  49.2  149.2 -122.1]
558,68.5,233.9,,234.3,,153.1,,233.9,234.3,153.1,206.0,231.0,147.0,[  59.7  156.1 -120.4]
559,68.6,,228.4,,237.0,,332.8,228.4,237.0,153.1,200.0,233.0,147.0,[  50.3  154.8 -116.2]
560,68.7,233.8,,235.0,,146.9,,233.8,235.0,146.9,205.0,231.0,141.0,[  58.5  159.4 -114.9]
561,68.8,,228.3,,237.2,,333.6,228.3,237.2,146.9,200.0,234.0,141.0,[  49.   159.2 -110.7]
562,68.9,233.3,,234.2,,341.7,,233.3,234.2,341.7,205.0,231.0,336.0,[  58.5  -42.8 -191.8]
563,69.0,,226.5,,234.9,,334.2,226.5,234.9,341.7,198.0,231.0,336.0,[  50.7  -45.5 -185.9]
